company,specific_bean_origin,review_date,cocoa_percent,company_location,rating,bean_type,bean_origin_country
Rancho San Jacinto,Ecuador,2010,75%,Eucador,3,"Forastero(Arriba, CCN)",Ecuador
Ranger,"Tumbes, Batch 2",2015,73%,U.S.A.,3.5,Criollo,Peru
Raoul Boulanger,Piura,2016,75%,France,3.25,Criollo,Peru
Republica del Cacao (aka Confecta),"Los Rios, Vinces",2009,75%,Ecuador,2.5,Forastero (Arriba),Ecuador
Republica del Cacao (aka Confecta),Manabi,2007,75%,Ecuador,3,Forastero (Arriba),Ecuador
Republica del Cacao (aka Confecta),El Oro,2007,67%,Ecuador,3.5,Forastero (Arriba),Ecuador
Republica del Cacao (aka Confecta),Los Rios,2007,75%,Ecuador,3.75,Forastero (Arriba),Ecuador
Ritual,"Toledo District, Maya",2013,75%,U.S.A.,3.75,Trinitario,Belize
Ritual,"Maranon, Cajamarca",2013,75%,U.S.A.,3,Forastero (Nacional),Peru
Ritual,Sambirano,2012,75%,U.S.A.,4,Trinitario,Madagascar
Ritual,"Camino Verde P., 2012, Balao, Guayas",2012,75%,U.S.A.,3.25,Nacional (Arriba),Ecuador
Ritual,Gran Couva,2012,75%,U.S.A.,3.5,Trinitario,Trinidad
Robert (aka Chocolaterie Robert),Madagascar,2013,75%,Madagascar,3.25,Trinitario,Madagascar
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,2013,68%,Madagascar,3.25,Trinitario,Madagascar
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",2012,66%,U.K.,3.5,Trinitario,Grenada
Rogue,Porcelana,2014,80%,U.S.A.,3.75,Criollo,Venezuela
Rogue,"Akessons Estate, Sambirano, 2013",2013,70%,U.S.A.,3.5,Trinitario,Madagascar
Rogue,"Bachelor's Hall E., St. Thomas Parish",2013,75%,U.S.A.,3.75,Trinitario,Jamaica
Rogue,"Camino Verde P., Balao, Guayas",2012,75%,U.S.A.,3.75,Nacional (Arriba),Ecuador
Rogue,"Silvestre, Batch 1, 2011",2011,75%,U.S.A.,3,Criollo,Bolivia
Rogue,Rio Caribe,2009,70%,U.S.A.,3.5,Trinitario,Venezuela
Rogue,Jamaica,2008,70%,U.S.A.,2.75,Trinitario,Jamaica
Rogue,"Sambirano, 2008",2008,70%,U.S.A.,2.75,Trinitario,Madagascar
Rogue,Trinidad,2008,70%,U.S.A.,3,Trinitario,Trinidad
Rozsavolgyi,"Rio Caribe Superior, Paria Penninsula",2012,76%,Hungary,2.25,Trinitario,Venezuela
Rozsavolgyi,"Sambirano, Akesson Estate",2012,72%,Hungary,2.5,Trinitario,Madagascar
Rozsavolgyi,Carenero Superior,2011,73%,Hungary,3.5,Criollo,Venezuela
Rozsavolgyi,Principe,2011,77%,Hungary,2.75,Forastero,Principe
S.A.I.D.,Malgascio,2010,64%,Italy,3.5,Trinitario,Madagascar
Salgado,Bahia Superior,2008,70%,Argentina,3.5,Forastero,Brazil
Salgado,Esmeraldas,2008,70%,Argentina,3.5,Forastero (Nacional),Ecuador
Salgado,Carenero Superior,2008,70%,Argentina,3.5,Trinitario,Venezuela
Salgado,Rio Arriba,2008,70%,Argentina,3.5,Forastero (Arriba) ASSS,Ecuador
Santander (Compania Nacional),Colombian 2008,2009,75%,Colombia,2.75,Forastero (Nacional),Colombia
Santander (Compania Nacional),Colombian w/ nibs,2009,70%,Colombia,3,Forastero (Nacional),Colombia
Santander (Compania Nacional),Colombian Semi Dark,2006,53%,Colombia,2,Forastero (Nacional),Colombia
Santander (Compania Nacional),Colombian,2006,65%,Colombia,3,Forastero (Nacional),Colombia
Santander (Compania Nacional),Colombian Dark,2006,70%,Colombia,4,Forastero (Nacional),Colombia
Santome,Sao Tome,2011,70%,France,2.75,Forastero,Sao Tome
Scharffen Berger,Camahogne,2010,68%,U.S.A.,3.5,Trinitario,Grenada
Scharffen Berger,Amina,2010,65%,U.S.A.,3.75,"Trinitario, Criollo",Madagascar
Scharffen Berger,Asante,2009,65%,U.S.A.,4,Forastero,Ghana
Scharffen Berger,Ben Tre,2009,72%,U.S.A.,3.75,Trinitario,Vietnam
Scharffen Berger,Finisterra,2008,72%,U.S.A.,3,Blend,"Ven., Trinidad, Mad."
Scharffen Berger,Las Islas,2007,72%,U.S.A.,3,Blend,Carribean(DR/Jam/Tri)
Scharffen Berger,Antilles (Trin/Gren/DR/Ven),2007,75%,U.S.A.,3,Blend,Carribean
Scharffen Berger,Kumasi Sambirano,2006,68%,U.S.A.,2,Blend,Ghana & Madagascar
Scharffen Berger,Jamaica a l'ancienne,2006,70%,U.S.A.,2,Trinitario,Jamaica
Shark Mountain,Jamaica,2015,72%,U.S.A.,3.25,Trinitario,Jamaica
Shark Mountain,Papua New Guinea,2015,73%,U.S.A.,3.5,Forastero,Papua New Guinea
Shark Mountain,Cuyagua,2015,77%,U.S.A.,2.75,Criollo,Venezuela
Shark Mountain,ROIG,2015,74%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Shark Mountain,Ecuador,2014,75%,U.S.A.,3,Trinitario,Ecuador
Shark Mountain,"Belize, 2013",2014,72%,U.S.A.,3.25,"Criollo, Trinitario",Belize
Shattell,Porcelana,2011,75%,Peru,3.5,Criollo,Peru
Silvio Bessone,Maya Belize,2011,67%,Italy,3,Criollo,Belize
Silvio Bessone,"Trintade, Sao Tome",2011,65%,Italy,3.25,Forastero,Sao Tome
Silvio Bessone,"Bahia, Scavina",2011,60%,Italy,3.25,Trinitario,Brazil
Silvio Bessone,"Porcelana, Colombia, Amazonas",2011,68%,Italy,3,"Criollo, Trinitario",Colombia
Sirene,"Somia Plantation, 2012",2015,100%,Canada,3,Trinitario,Madagascar
Sirene,"Somia Plantation, 2012",2014,67%,Canada,3.75,Trinitario,Madagascar
Sirene,"Somia Plantation, 2012",2014,73%,Canada,3.75,Trinitario,Madagascar
Sjolinds,Ghana,2015,70%,U.S.A.,2.75,Forastero,Ghana
"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",2016,70%,Australia,3.75,Criollo,Venezuela
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",2016,70%,Australia,4,Criollo,Ecuador
"Smooth Chocolator, The",Tien Giang,2016,70%,Australia,3,Trinitario,Vietnam
"Smooth Chocolator, The",Akesson's Estate,2015,65%,Australia,3.25,Trinitario,Madagascar
"Smooth Chocolator, The",Akesson's Estate,2015,70%,Australia,3.5,Trinitario,Madagascar
"Smooth Chocolator, The",San Juan Estate,2015,70%,Australia,3.75,Trinitario,Trinidad
"Smooth Chocolator, The","Maranon, batch 2",2015,67%,Australia,3,Forastero (Nacional),Peru
"Smooth Chocolator, The","Chuao, batch 3",2015,70%,Australia,3.75,Trinitario,Venezuela
Snake & Butterfly,Ghana,2011,67%,U.S.A.,1.5,Forastero,Ghana
Snake & Butterfly,Madagascar,2010,68%,U.S.A.,3,Trinitario,Madagascar
Sol Cacao,Madagascar,2015,72%,U.S.A.,3,Trinitario,Madagascar
Solkiki,"Maranon, Fortunato No. 4",2016,68%,U.K.,2.75,Forastero (Nacional),Peru
Solstice,Bundibugyo,2014,70%,U.S.A.,3,"Forastero, Trinitario",Uganda
Solstice,Sambirano,2013,70%,U.S.A.,3,Trinitario,Madagascar
Soma,"Sambirano Valley, Black Science, B-60307.0",2016,70%,Canada,3.5,Trinitario,Madagascar
Soma,"Bahia Black, batch bra50722.1",2016,70%,Canada,3.5,Forastero (Parazinho),Brazil
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",2016,70%,Canada,3.75,Trinitario,Nicaragua
Soma,"Tien Giang, Black S., batch VIT60420.0",2016,70%,Canada,4,Trinitario,Vietnam
Soma,CSB Chama,2015,70%,Canada,3.5,Criollo,Venezuela
Soma,Maranon Canyon,2014,70%,Canada,3.75,Forastero (Nacional),Peru
Soma,La Dalia,2014,70%,Canada,3.25,Trinitario,Nicaragua
Soma,"Camino Verde P., Balao, Guayas",2014,80%,Canada,3.5,Forastero (Nacional),Ecuador
Soma,"Espiritu Santo, 'Smoke Monster'",2014,70%,Canada,3.75,Forastero (Amelonado),Vanuatu
Soma,Little Big Man,2014,70%,Canada,3.25,Blend,Madagascar & Ecuador
Soma,"Rizek Cacao, Domin. Rep.",2013,77%,Canada,3.75,Trinitario,Dominican Republic
Soma,Java,2013,70%,Canada,3.25,Criollo,Indonesia
Soma,"Apurimac, El Quinacho Co-op",2013,70%,Canada,2.75,Criollo,Peru
Soma,"Sangre Grande P., Trinidad",2013,70%,Canada,3.75,Trinitario,Trinidad
Soma,Patanemo,2013,70%,Canada,3.75,Criollo,Venezuela
Soma,"Maracaibo, El Vigia",2013,70%,Canada,4,Criollo,Venezuela
Soma,Orinoco,2013,70%,Canada,3.25,Forastero,Venezuela
Soma,"Bachelor's Hall E., St. Thomas Parish",2013,70%,Canada,4,Trinitario,Jamaica
Soma,"Dual Origins, Sambirano, Elvesia",2012,70%,Canada,4,Blend,"Dom. Rep., Madagascar"
Soma,"Dancing in Your Head, 5 bean blend",2012,70%,Canada,4,Blend,"Gre., PNG, Haw., Haiti, Mad"
Soma,Cahabon Region,2012,70%,Canada,3.5,Trinitario,Guatemala
Soma,Carenero Superior,2012,70%,Canada,3.75,Trinitario,Venezuela
Soma,Eastern Promises,2012,70%,Canada,3.5,Blend,"Mad., Java, PNG"
Soma,Papua New Guinea,2012,85%,Canada,3.5,Trinitario,Papua New Guinea
Soma,"Grenada, Black Science",2011,70%,Canada,2.75,Trinitario,Grenada
Soma,"Alto Beni, Wild Bolivian",2011,70%,Canada,3.5,Nacional,Bolivia
Soma,"Elvesia P., Black Science",2011,70%,Canada,3.75,Forastero,Dominican Republic
Soma,Chuao,2011,70%,Canada,3.5,Criollo,Venezuela
Soma,Black Science Blend 1,2010,70%,Canada,3.75,"Trinitario, Nacional","DR, Ecuador, Peru"
Soma,Hispaniola,2009,70%,Canada,3,Forastero,Dominican Republic
Soma,Africa,2009,70%,Canada,3.5,Forastero,Ghana
Soma,Conacado,2009,70%,Canada,3,Trinitario,Dominican Republic
Soma,Papua New Guinea,2009,70%,Canada,3.5,Trinitario,Papua New Guinea
Soma,Madagascar,2009,70%,Canada,3.75,Criollo,Madagascar
Soma,Ocumare,2009,70%,Canada,3.75,Criollo,Venezuela
Spencer,Malekula Island,2014,72%,Australia,2.75,Trinitario,Vanuatu
Sprungli (Felchlin),Alto Beni,2013,70%,Switzerland,3,Criollo,Bolivia
Starchild,"Bolivar, Arriba",2015,70%,U.S.A.,3,Forastero (Nacional),Ecuador
Starchild,Rio Tuma,2015,70%,U.S.A.,3,Trinitario (Amelonado),Nicaragua
Starchild,Sambirano Valley,2015,70%,U.S.A.,3,Trinitario,Madagascar
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",2012,68%,Switzerland,2.75,Trinitario,Brazil
Sublime Origins,Sambirano,2013,67%,U.S.A.,2.75,Trinitario,Madagascar
Sublime Origins,Moho Valley,2013,78%,U.S.A.,3.25,Trinitario,Belize
Summerbird,Peru,2016,61%,Denmark,2.5,"Criollo, Trinitario",Peru
Summerbird,Peru,2016,71%,Denmark,3,"Criollo, Trinitario",Peru
Svenska Kakaobolaget,Sri Lanka,2015,70%,Sweden,2.75,"Criollo, Trinitario",Sri Lanka
Szanto Tibor,Baracoa,2015,88%,Hungary,3.25,Trinitario,Cuba
Szanto Tibor,Ambolikapiky,2015,70%,Hungary,3.25,Trinitario,Madagascar
Szanto Tibor,"Winak, Sumaco",2015,70%,Hungary,3.75,Forastero (Nacional),Ecuador
Szanto Tibor,"Ben Tre, Mekong Delta",2015,70%,Hungary,3.25,Trinitario,Vietnam
Szanto Tibor,"Fazenda Sempre Firme, Bahia",2015,70%,Hungary,3.5,Forastero (Parazinho),Brazil
Szanto Tibor,Porcelana,2014,70%,Hungary,3.5,Criollo,Venezuela
Szanto Tibor,Baracoa,2014,70%,Hungary,3.75,Trinitario,Cuba
Szanto Tibor,"Autumn, Primary Harvest, 2012",2013,70%,Hungary,3.5,Criollo,Madagascar
Szanto Tibor,"Spring, Secondary Harvest, 2012",2013,70%,Hungary,3.5,Criollo,Madagascar
Tablette (aka Vanillabeans),Vietnam,2015,60%,Japan,3.25,Trinitario,Vietnam
Tablette (aka Vanillabeans),Trinidad,2015,77%,Japan,2.75,Trinitario,Trinidad
Tan Ban Skrati,"Paramaribo, batch 20160043-01",2016,70%,Suriname,3.25,Trinitario,Suriname
Taza,Belize,2014,68%,U.S.A.,3,Trinitario,Belize
TCHO,West Africa,2016,62%,U.S.A.,2,Forastero,West Africa
TCHO,Chocolatey-beta,2008,70%,U.S.A.,2.5,Forastero,Ghana
Tejas,Bayou Blend,2012,70%,U.S.A.,3,Blend,"Ecuador, Mad., PNG"
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",2012,70%,U.S.A.,3.5,Forastero (Parazinho),Brazil
Terroir,Belize,2015,70%,U.S.A.,3.75,Trinitario,Belize
Terroir,Madagascar,2015,70%,U.S.A.,3.75,Trinitario,Madagascar
Terroir,Guatemala,2015,70%,U.S.A.,3.75,Trinitario,Guatemala
Terroir,Madagascar,2014,67%,U.S.A.,3.75,Trinitario,Madagascar
Terroir,Uganda,2014,73%,U.S.A.,3.75,Forastero,Uganda
Theo,Congo w/ nibs,2012,65%,U.S.A.,3.25,Forastero,Congo
Theo,Madagascar,2007,65%,U.S.A.,3.5,Trinitario,Madagascar
Theo,"Ghana, Kumasi",2007,84%,U.S.A.,3,Forastero,Ghana
Theo,"Venezuela; Barinos, Merida, Tachron",2007,91%,U.S.A.,2,Blend,Venezuela
Theo,"Ghana, Panama, Ecuador",2007,75%,U.S.A.,3,Blend,"Ghana, Panama, Ecuador"
Timo A. Meyer,"Belize, med roast",2016,72%,Germany,3.75,"Trinitario, TCGA",Belize
To'ak (Ecuatoriana),Manabi,2014,81%,Ecuador,3.25,Forastero (Nacional),Ecuador
Tobago Estate (Pralus),"Roxborough, Tobago",2012,70%,France,4,Trinitario,Tobago
Tocoti,"Wild Bolivian, Jungle Love",2012,77%,U.S.A.,3,Criollo,Bolivia
twenty-four blackbirds,Madagascar,2014,75%,U.S.A.,3.5,Trinitario,Madagascar
Two Ravens,Peru,2016,60%,U.S.A.,3,Criollo,Peru
Upchurch,"Madagascar, Sassy Bar",2016,72%,U.S.A.,3,Trinitario,Madagascar
Urzi,"Sur del Lago, Merida",2014,65%,Italy,3.25,Trinitario,Venezuela
Valrhona,"Porcelana, Pedegral",2011,64%,France,4,Criollo,Venezuela
Valrhona,Nyangbo,2009,68%,France,3.5,Forastero,Ghana
Valrhona,Araguani,2007,72%,France,3,Blend,"Venezuela, Carribean"
Valrhona,Chuao 2002 P.,2007,65%,France,3.75,Trinitario,Venezuela
Valrhona,Manjari,2007,64%,France,4,"Criollo, Trinitario",Madagascar
Valrhona,Abinao,2007,85%,France,2.5,Forastero,West Africa
Valrhona,Le Noir Amer,2007,71%,France,2.75,Forastero,West Africa
Valrhona,"Porcelana, Maracaibo, Palmira P. 2006",2007,64%,France,3.25,Criollo (Porcelana),Venezuela
Valrhona,Caraibe,2006,66%,France,3,Trinitario,Carribean
Valrhona,Guanaja,2006,70%,France,4,"Criollo, Trinitario",South America
Valrhona,Gran Couva 2005 P.,2006,64%,France,2.5,Trinitario,Trinidad
Valrhona,"Porcelana, Maracaibo, Palmira P. 2005",2006,64%,France,3,Criollo (Porcelana),Venezuela
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",2006,64%,France,3.5,Trinitario,Madagascar
Vanleer (Barry Callebaut),Manhattan,2012,72%,U.S.A.,2.5,Forastero,Ghana
Vanleer (Barry Callebaut),Napa,2012,65%,U.S.A.,2.75,Forastero,Ghana
Vao Vao (Chocolaterie Robert),Madagascar,2009,72%,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,2009,76%,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,2009,80%,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,2009,70%,Madagascar,3,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,2009,68%,Madagascar,3,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,2009,64%,Madagascar,3.25,Trinitario,Madagascar
Videri,Trinidad,2014,75%,U.S.A.,3.5,Trinitario,Trinidad
Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay",2012,70%,France,3.5,Trinitario,Vietnam
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,100%,U.S.A.,2,Forastero (Arriba),Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,90%,U.S.A.,2,Forastero (Arriba),Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,75%,U.S.A.,3,Forastero (Arriba),Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007",2007,65%,U.S.A.,3,Forastero (Arriba),Ecuador
Violet Sky,Sambirano Valley,2015,77%,U.S.A.,2.75,Trinitario,Madagascar
Violet Sky,Moho River Valley,2015,77%,U.S.A.,3,"Criollo, Trinitario",Belize
Violet Sky,Cuyagua,2015,77%,U.S.A.,3,Criollo,Venezuela
Violet Sky,Peru,2015,77%,U.S.A.,3.25,"Criollo, Trinitario",Peru
Violet Sky,Cahabon,2015,77%,U.S.A.,2.75,Trinitario,Guatemala
Wellington Chocolate Factory,Conacado,2016,70%,New Zealand,3.5,Trinitario,Dominican Republic
Whittakers,Ghana,2011,72%,New Zealand,2.5,Forastero,Ghana
Wilkie's Organic,Amazonas,2013,75%,Ireland,2.5,Criollo,Peru
Wilkie's Organic,Amazonas,2013,89%,Ireland,2.75,Criollo,Peru
Wilkie's Organic,Tumbes,2013,75%,Ireland,3.25,Criollo,Peru
Wilkie's Organic,Amazonas w/ nibs,2013,75%,Ireland,2.75,Criollo,Peru
Willie's Cacao,Los Llanos,2014,88%,U.K.,3,Trinitario,Colombia
Willie's Cacao,Sambirano,2010,71%,U.K.,3,Trinitario,Madagascar
Willie's Cacao,Rio Caribe,2009,72%,U.K.,3.25,Trinitario,Venezuela
Wm,"Guasare, Zulia Prov., 2015, batch 124",2016,74%,U.S.A.,3,Criollo,Venezuela
Woodblock,"Maranon, Cajamarca",2014,70%,U.S.A.,3,Forastero (Nacional),Peru
Woodblock,Gran Couva,2013,70%,U.S.A.,3.5,Trinitario,Trinidad
Woodblock,Sambirano,2012,70%,U.S.A.,3.25,Trinitario,Madagascar
Zak's,"Madagascar, Batch 2",2015,70%,U.S.A.,3.25,Trinitario,Madagascar
Zak's,"Belize, Batch 2",2015,70%,U.S.A.,3.5,Trinitario,Belize
Zart Pralinen,"Millot P., Ambanja",2016,70%,Austria,3.5,"Criollo, Trinitario",Madagascar
Zart Pralinen,UNOCACE,2016,70%,Austria,2.75,Nacional (Arriba),Ecuador
Zart Pralinen,San Juan Estate,2016,85%,Austria,2.75,Trinitario,Trinidad
Zart Pralinen,"Kakao Kamili, Kilombero Valley",2016,85%,Austria,3,"Criollo, Trinitario",Tanzania
Zart Pralinen,"Kakao Kamili, Kilombero Valley",2016,70%,Austria,3.5,"Criollo, Trinitario",Tanzania
Zart Pralinen,"San Juan Estate, Gran Couva",2016,78%,Austria,3.5,Trinitario,Trinidad
Zokoko,Tokiala,2011,66%,Australia,3.5,Trinitario,Papua New Guinea
Zotter,"Satipo Pangoa region, 16hr conche",2012,70%,Austria,3,Criollo (Amarru),Peru
Zotter,"Satipo Pangoa region, 20hr conche",2012,70%,Austria,3.5,Criollo (Amarru),Peru
Zotter,El Oro,2012,75%,Austria,3,Forastero (Nacional),Ecuador
Zotter,Huiwani Coop,2012,75%,Austria,3,"Criollo, Trinitario",Papua New Guinea
Zotter,"Kongo, Highlands",2012,68%,Austria,3.25,Forastero,Congo
Zotter,Congo,2011,65%,Austria,3,Forastero,Congo
Zotter,Kerala State,2011,65%,Austria,3.5,Forastero,India
